Lesson,Exam Num,Test ID,Subject,Dificulity,Answer,About,Reason
Engish,3,1,Vocab,medium,empty,-,dont know
Engish,3,2,Vocab,hard,FALSE,-,dont know
Engish,3,3,Vocab,medium,empty,phrasal verb,dont know
Engish,3,4,Vocab,medium,empty,-,dont know
Engish,3,5,Vocab,medium,empty,-,dont know
Engish,3,6,Vocab,medium,empty,-,dont know
Engish,3,7,Vocab,medium,empty,adverbs,dont know
Engish,3,8,Gramer,hard,TRUE,such as,-
Engish,3,9,Gramer,hard,FALSE,ellipsis,dont know
Engish,3,10,Gramer,very hard,empty,infinitive,dont know
Engish,3,11,Reading,medium,FALSE,-,dont know
Engish,3,12,Reading,medium,empty,-,dont know
Engish,3,13,Reading,medium,empty,-,dont know
Engish,3,14,Reading,medium,empty,-,dont know
Engish,3,15,Reading,medium,empty,-,dont know
Engish,3,16,Reading,medium,TRUE,-,-
Engish,3,17,Reading,medium,TRUE,-,-
Engish,3,18,Reading,hard,TRUE,-,-
Engish,3,19,Reading,medium,empty,-,dont know
Engish,3,20,Reading,medium,TRUE,-,-
Engish,3,21,Reading,medium,empty,-,dont know
Engish,3,22,Reading,medium,TRUE,-,-
Engish,3,23,Reading,medium,TRUE,-,-
Engish,3,24,Reading,medium,FALSE,vocab,dont know
Engish,3,25,Reading,easy,empty,vocab,dont know